symbol,action,total_score,trend_score,volume_score,close,change_pct,vol_ratio,avg_vol_20d,turnover_b,rsi14,trend_up,macd_positive,breakout_20d,notes
BCAP.JK,WATCH,5,2,3,52.0,1.9607843137254901,2.2507116301760375,23644655.0,2.7672996,49.885448816952604,False,True,False,strong_volume
PEHA.JK,WATCH,5,3,2,306.0,4.081632653061225,2.0638256721036683,387775.0,0.2448918,65.18769115671705,False,True,False,"strong_volume,momentum_confirmed,strong_daily_move"
GJTL.JK,WATCH,5,3,2,1110.0,2.3041474654377883,1.7247216919148092,5041625.0,9.651894,62.61599746780574,False,True,False,"momentum_confirmed,strong_daily_move"
MAPI.JK,WATCH,5,3,2,1305.0,4.3999999999999995,1.672794485259535,27002540.0,58.9464585,60.03164730494171,False,True,False,"momentum_confirmed,strong_daily_move"
SRSN.JK,WATCH,5,3,2,63.0,3.278688524590164,1.657185684458803,20554305.0,2.1459249,59.473633454724194,False,True,False,"momentum_confirmed,strong_daily_move"
TALF.JK,WATCH,5,4,1,675.0,-14.556962025316455,1.614507447589919,415235.0,0.45252,51.94452960047272,True,True,False,momentum_confirmed
TBLA.JK,WATCH,5,3,2,700.0,-1.4084507042253522,1.5920517853756542,1951130.0,2.17441,61.96743942201341,False,True,False,momentum_confirmed
FORE.JK,WATCH,5,3,2,645.0,-0.7692307692307693,1.492864433283252,7181630.0,6.915174,74.2885321139376,True,True,False,-
TOTL.JK,WATCH,5,3,2,1050.0,1.4492753623188406,1.4307395123373547,3429625.0,5.152245,53.76630652675801,False,True,False,momentum_confirmed
LSIP.JK,WATCH,5,3,2,1485.0,2.768166089965398,1.3877000352053317,20820710.0,42.9059565,79.60690759168455,True,True,False,strong_daily_move
BWPT.JK,WATCH,5,3,2,127.0,-1.550387596899225,1.3113124711097295,74311350.0,12.3755658,50.552713812004114,False,True,False,momentum_confirmed
ARNA.JK,WATCH,5,3,2,530.0,1.9230769230769231,1.2884537543007488,4348080.0,2.969219,54.284704244880395,False,True,False,momentum_confirmed
MIDI.JK,WATCH,5,3,2,314.0,3.289473684210526,1.248675578088457,22170050.0,8.6925248,58.41235181187753,False,True,False,"momentum_confirmed,strong_daily_move"
TCPI.JK,WATCH,5,3,2,11775.0,1.948051948051948,1.2448125493226267,4555465.0,66.7724925,55.765709201678376,True,False,False,-
IMPC.JK,WATCH,5,3,2,2240.0,-1.7543859649122806,1.2355375047683343,28691885.0,79.407776,55.84542504291376,False,True,False,momentum_confirmed
MARK.JK,WATCH,5,3,2,785.0,1.948051948051948,1.233366808024024,10301315.0,9.9736605,51.26817400298382,False,True,False,momentum_confirmed
BSML.JK,WATCH,5,4,1,340.0,-2.857142857142857,1.1389862272935802,17928575.0,6.942936,59.1320236353984,True,True,False,momentum_confirmed
MSJA.JK,WATCH,5,4,1,472.0,-0.42194092827004215,1.0454042616527681,12429450.0,6.1330736,65.41071905474436,True,True,False,momentum_confirmed
AKRA.JK,WATCH,5,4,1,1350.0,0.37174721189591076,1.0353408813838687,33077415.0,46.23264,55.24043529744774,True,True,False,momentum_confirmed
TAPG.JK,WATCH,5,4,1,1850.0,2.4930747922437675,0.9901523463435734,37163675.0,68.075745,62.00175277400375,True,True,False,"momentum_confirmed,strong_daily_move"
MAIN.JK,WATCH,5,4,1,925.0,0.5434782608695652,0.9813318412728746,5075755.0,4.607425,65.19919559360383,True,True,False,momentum_confirmed
UNTR.JK,WATCH,5,4,1,30750.0,-0.5658852061438965,0.6636609759917661,4469300.0,91.207575,56.641060472704375,True,True,False,momentum_confirmed
BSSR.JK,WATCH,5,4,1,4090.0,0.0,0.4651883820720788,806340.0,1.534159,66.02041226352344,True,True,False,momentum_confirmed
ABMM.JK,WATCH,5,4,1,3040.0,0.6622516556291391,0.4353479172632631,2811085.0,3.720352,55.87399644283027,True,True,False,momentum_confirmed
ELPI.JK,WATCH,5,4,1,1910.0,-2.3017902813299234,0.36428794308955065,3733585.0,2.597791,58.25118505618766,True,True,False,momentum_confirmed
PMUI.JK,MONITOR,4,1,3,92.0,-1.0752688172043012,9.288608482822434,2680240.0,2.2904044,23.980908981561598,False,True,False,strong_volume
BATR.JK,MONITOR,4,1,3,84.0,-2.3255813953488373,8.40321245305507,5000540.0,3.5297304,36.3873611767359,False,True,False,strong_volume
